02-Dec-2019 14:20:11 1 26.820957
02-Dec-2019 14:20:11 2 31.588822
02-Dec-2019 14:20:11 3 31.314293
02-Dec-2019 14:20:11 4 30.037146
02-Dec-2019 14:20:11 5 29.467802
02-Dec-2019 14:20:11 6 21.248219
02-Dec-2019 14:20:11 7 25.173099
02-Dec-2019 14:20:11 8 21.095000
02-Dec-2019 14:20:11 9 20.463620
02-Dec-2019 14:20:11 10 31.478396
02-Dec-2019 14:20:11 11 22.279584
02-Dec-2019 14:20:11 12 26.318513
02-Dec-2019 14:20:11 13 30.149306
02-Dec-2019 14:20:11 14 29.249734
02-Dec-2019 14:20:11 15 29.837198
02-Dec-2019 14:20:11 16 26.859075
02-Dec-2019 14:20:11 17 29.228417
02-Dec-2019 14:20:11 18 29.883760
02-Dec-2019 14:20:11 19 20.494302
02-Dec-2019 14:20:11 20 24.994069
02-Dec-2019 14:20:11 21 29.042805
02-Dec-2019 14:20:11 22 26.601595
02-Dec-2019 14:20:11 23 29.435553
02-Dec-2019 14:20:11 24 31.656624
02-Dec-2019 14:20:11 25 29.109070
02-Dec-2019 14:20:11 26 21.063244
02-Dec-2019 14:20:11 27 24.956178
02-Dec-2019 14:20:11 28 28.369749
02-Dec-2019 14:20:11 29 26.280900
02-Dec-2019 14:20:11 30 28.756875
